,Price,Time,Sold,Added,Percent Diff,Item,Class,Type,Day,Hour,Date
0,24398,31,0,0,0,coin,Start,ask,Wednesday,0,2023-05-10T00:19:19.340380Z
1,24400,54,1,0,0,coin,Closed,ask,Wednesday,0,2023-05-10T00:20:33.543467Z
2,24600,56,2,0,0,coin,Closed,ask,Wednesday,0,2023-05-10T00:20:40.095629Z
3,24599,120,2,1,0,coin,Opened,ask,Wednesday,0,2023-05-10T00:24:08.856847Z
4,24599,121,2,1,0,coin,Start,ask,Wednesday,0,2023-05-10T00:24:29.490738Z
5,24600,268,3,1,0,coin,Closed,ask,Wednesday,0,2023-05-10T00:32:45.530750Z
6,24679,298,4,1,0,coin,Closed,ask,Wednesday,0,2023-05-10T00:34:24.477889Z
7,24678,419,4,2,0,coin,Opened,ask,Wednesday,0,2023-05-10T00:41:08.987176Z
8,24670,454,4,3,0,coin,Opened,ask,Wednesday,0,2023-05-10T00:43:04.690777Z
9,24670,121,2,1,0,coin,Start,ask,Wednesday,0,2023-05-10T00:51:40.449058Z
10,24600,152,2,1,0,coin,Start,ask,Wednesday,0,2023-05-10T00:53:34.479491Z
11,24600,152,2,1,0,coin,Start,ask,Wednesday,0,2023-05-10T00:55:37.888972Z
12,24599,224,2,2,0,coin,Opened,ask,Wednesday,0,2023-05-10T00:59:25.597810Z
13,24600,276,3,2,0,coin,Closed,ask,Wednesday,1,2023-05-10T01:02:10.633049Z
14,24599,365,3,3,0,coin,Opened,ask,Wednesday,1,2023-05-10T01:07:09.091934Z
15,24598,411,3,4,0,coin,Opened,ask,Wednesday,1,2023-05-10T01:09:46.991819Z
16,24599,459,4,4,0,coin,Closed,ask,Wednesday,1,2023-05-10T01:12:29.068860Z
17,24600,468,5,4,0,coin,Closed,ask,Wednesday,1,2023-05-10T01:13:02.700961Z
18,24500,473,5,5,0,coin,Opened,ask,Wednesday,1,2023-05-10T01:13:21.948757Z
19,24500,476,7,5,0,coin,Closed,ask,Wednesday,1,2023-05-10T01:13:39.723468Z
20,24600,528,8,5,0,coin,Closed,ask,Wednesday,1,2023-05-10T01:16:28.253638Z
21,24600,624,8,5,0,coin,Start,ask,Wednesday,1,2023-05-10T01:22:08.555498Z
22,24600,846,8,5,0,coin,Start,ask,Wednesday,1,2023-05-10T01:34:41.818259Z
23,24670,913,9,5,0,coin,Closed,ask,Wednesday,1,2023-05-10T01:38:32.982771Z
24,24678,967,10,5,0,coin,Closed,ask,Wednesday,1,2023-05-10T01:41:34.030011Z
25,24677,1151,10,5,0,coin,Start,ask,Wednesday,1,2023-05-10T01:54:46.001383Z
26,24677,1161,10,5,0,coin,Start,ask,Wednesday,1,2023-05-10T01:56:30.436962Z
27,24676,1195,10,6,0,coin,Opened,ask,Wednesday,1,2023-05-10T01:58:37.886414Z
28,24677,1209,11,6,0,coin,Closed,ask,Wednesday,1,2023-05-10T01:59:28.120074Z
29,24676,1218,11,7,0,coin,Opened,ask,Wednesday,2,2023-05-10T02:00:02.334600Z
30,24677,1264,12,7,0,coin,Closed,ask,Wednesday,2,2023-05-10T02:02:45.603550Z
31,24678,1269,13,7,0,coin,Closed,ask,Wednesday,2,2023-05-10T02:03:02.847358Z
32,24677,1291,13,8,0,coin,Opened,ask,Wednesday,2,2023-05-10T02:04:23.287606Z
33,24678,1305,14,8,0,coin,Closed,ask,Wednesday,2,2023-05-10T02:05:19.408958Z
34,24677,1400,14,9,0,coin,Opened,ask,Wednesday,2,2023-05-10T02:10:49.426937Z
35,24678,1556,15,9,0,coin,Closed,ask,Wednesday,2,2023-05-10T02:19:20.312232Z
36,24679,1559,16,9,0,coin,Closed,ask,Wednesday,2,2023-05-10T02:19:30.488669Z
37,24689,1560,17,9,0,coin,Closed,ask,Wednesday,2,2023-05-10T02:19:33.950688Z
38,24690,1562,18,9,0,coin,Closed,ask,Wednesday,2,2023-05-10T02:19:41.666159Z
39,24697,1563,19,9,0,coin,Closed,ask,Wednesday,2,2023-05-10T02:19:45.018770Z
40,25490,1689,19,9,0,coin,Start,ask,Wednesday,11,2023-05-10T11:22:27.501443Z
41,25500,1710,20,9,0,coin,Closed,ask,Wednesday,11,2023-05-10T11:23:56.497734Z
42,25500,1821,20,9,0,coin,Start,ask,Wednesday,11,2023-05-10T11:32:19.464112Z
43,25798,1827,20,9,0,coin,Start,ask,Wednesday,11,2023-05-10T11:34:42.196998Z
44,25799,1832,20,9,0,coin,Start,ask,Wednesday,11,2023-05-10T11:36:57.834892Z
45,25799,1834,20,9,0,coin,Start,ask,Wednesday,11,2023-05-10T11:37:59.968771Z
46,25800,1834,20,9,0,coin,Start,ask,Wednesday,11,2023-05-10T11:40:52.485273Z
47,25800,1834,20,9,0,coin,Start,ask,Wednesday,11,2023-05-10T11:41:19.880621Z
48,25800,1834,20,9,0,coin,Start,ask,Wednesday,11,2023-05-10T11:43:30.176714Z
49,25800,1834,20,9,0,coin,Start,ask,Wednesday,11,2023-05-10T11:44:04.789277Z
50,25800,1834,20,9,0,coin,Start,ask,Wednesday,11,2023-05-10T11:44:21.531885Z
51,25800,1834,20,9,0,coin,Start,ask,Wednesday,11,2023-05-10T11:44:52.250036Z
52,25837,1834,20,9,0,coin,Start,ask,Wednesday,12,2023-05-10T12:02:46.553045Z
53,25835,1834,20,9,0,coin,Start,ask,Wednesday,12,2023-05-10T12:04:17.611894Z
54,25750,1834,20,9,0,coin,Start,ask,Wednesday,12,2023-05-10T12:18:26.378506Z
55,25750,1834,20,9,0,coin,Start,ask,Wednesday,12,2023-05-10T12:21:52.812020Z
56,25750,1834,20,9,0,coin,Start,ask,Wednesday,12,2023-05-10T12:23:40.057260Z
57,25797,1834,20,9,0,coin,Start,ask,Wednesday,12,2023-05-10T12:26:01.011926Z
58,25797,1834,20,9,0,coin,Start,ask,Wednesday,12,2023-05-10T12:27:21.513912Z
59,25797,1834,20,9,0,coin,Start,ask,Wednesday,12,2023-05-10T12:28:13.560940Z
60,25797,1834,20,9,0,coin,Start,ask,Wednesday,12,2023-05-10T12:28:44.795301Z
61,25799,1834,20,9,0,coin,Start,ask,Wednesday,12,2023-05-10T12:34:47.807291Z
62,25799,1834,20,9,0,coin,Start,ask,Wednesday,12,2023-05-10T12:35:47.353323Z
63,25799,1834,20,9,0,coin,Start,ask,Wednesday,12,2023-05-10T12:36:58.358482Z
64,25799,1834,20,9,0,coin,Start,ask,Wednesday,12,2023-05-10T12:38:57.094308Z
65,25799,1834,20,9,0,coin,Start,ask,Wednesday,12,2023-05-10T12:40:55.461315Z
66,25799,1834,20,9,0,coin,Start,ask,Wednesday,12,2023-05-10T12:42:44.245464Z
67,25799,1834,20,9,0,coin,Start,ask,Wednesday,12,2023-05-10T12:43:37.244885Z
68,25799,1834,20,9,0,coin,Start,ask,Wednesday,12,2023-05-10T12:45:44.700728Z
69,25799,1834,20,9,0,coin,Start,ask,Wednesday,12,2023-05-10T12:47:01.438865Z
70,25799,1835,20,9,0,coin,Start,ask,Wednesday,12,2023-05-10T12:52:20.355293Z
71,25799,1835,20,9,0,coin,Start,ask,Wednesday,12,2023-05-10T12:55:22.105225Z
72,25799,1837,20,9,0,coin,Start,ask,Wednesday,13,2023-05-10T13:05:30.472300Z
73,25700,1839,20,9,0,coin,Start,ask,Wednesday,13,2023-05-10T13:10:36.980146Z
74,25700,1839,20,9,0,coin,Start,ask,Wednesday,13,2023-05-10T13:11:59.359747Z
75,25699,1839,20,9,0,coin,Start,ask,Wednesday,13,2023-05-10T13:14:45.688438Z
76,25699,1840,20,9,0,coin,Start,ask,Wednesday,13,2023-05-10T13:15:58.694661Z
77,25698,1841,20,10,0,coin,Opened,ask,Wednesday,13,2023-05-10T13:16:09.195028Z
78,25700,1858,21,10,0,coin,Closed,ask,Wednesday,13,2023-05-10T13:18:04.892297Z
79,25699,1860,21,11,0,coin,Opened,ask,Wednesday,13,2023-05-10T13:18:17.331115Z
80,25700,1868,22,11,0,coin,Closed,ask,Wednesday,13,2023-05-10T13:18:56.912715Z
81,25698,1870,22,12,0,coin,Opened,ask,Wednesday,13,2023-05-10T13:19:09.904980Z
82,25697,1897,22,13,0,coin,Opened,ask,Wednesday,13,2023-05-10T13:21:29.680732Z
83,25698,1904,22,13,0,coin,Start,ask,Wednesday,13,2023-05-10T13:22:41.108923Z
84,25697,1940,22,14,0,coin,Opened,ask,Wednesday,13,2023-05-10T13:25:43.734749Z
85,25500,2009,22,15,0,coin,Opened,ask,Wednesday,13,2023-05-10T13:31:34.555661Z
86,25499,2011,22,16,0,coin,Opened,ask,Wednesday,13,2023-05-10T13:31:49.368707Z
87,25498,2013,23,16,0,coin,Closed,ask,Wednesday,13,2023-05-10T13:31:59.070484Z
88,25497,2015,23,17,0,coin,Opened,ask,Wednesday,13,2023-05-10T13:32:12.324383Z
89,25300,2023,23,17,0,coin,Start,ask,Wednesday,13,2023-05-10T13:41:21.459520Z
90,25299,2029,23,18,0,coin,Opened,ask,Wednesday,13,2023-05-10T13:42:02.812215Z
91,25299,2023,23,17,0,coin,Start,ask,Wednesday,13,2023-05-10T13:47:05.609770Z
92,25300,2026,24,17,0,coin,Closed,ask,Wednesday,13,2023-05-10T13:47:25.623471Z
93,25498,2028,25,17,0,coin,Closed,ask,Wednesday,13,2023-05-10T13:47:40.050799Z
94,25500,2029,26,17,0,coin,Closed,ask,Wednesday,13,2023-05-10T13:47:47.052356Z
95,25697,2030,27,17,0,coin,Closed,ask,Wednesday,13,2023-05-10T13:47:53.950852Z
96,25699,2031,28,17,0,coin,Closed,ask,Wednesday,13,2023-05-10T13:48:07.322813Z
97,25700,2032,29,17,0,coin,Closed,ask,Wednesday,13,2023-05-10T13:48:14.917514Z
98,25699,2059,29,18,0,coin,Opened,ask,Wednesday,13,2023-05-10T13:51:54.591762Z
99,25696,2062,29,19,0,coin,Opened,ask,Wednesday,13,2023-05-10T13:52:23.348572Z
100,25699,2103,30,19,0,coin,Closed,ask,Wednesday,13,2023-05-10T13:57:57.330114Z
101,25698,2226,30,20,0,coin,Opened,ask,Wednesday,14,2023-05-10T14:07:02.656163Z
102,25698,2256,32,20,0,coin,Closed,ask,Wednesday,14,2023-05-10T14:08:53.663118Z
103,25698,2023,23,17,0,coin,Start,ask,Wednesday,14,2023-05-10T14:09:57.839997Z
104,25694,2025,23,17,0,coin,Start,ask,Wednesday,14,2023-05-10T14:16:04.012039Z
105,25648,2027,23,17,0,coin,Start,ask,Wednesday,14,2023-05-10T14:39:57.195727Z
106,25649,2035,24,17,0,coin,Closed,ask,Wednesday,14,2023-05-10T14:41:30.722250Z
107,25689,2053,24,17,0,coin,Start,ask,Wednesday,14,2023-05-10T14:51:39.287092Z
108,25690,2053,24,17,0,coin,Start,ask,Wednesday,14,2023-05-10T14:55:12.218398Z
109,25689,2055,24,18,0,coin,Opened,ask,Wednesday,14,2023-05-10T14:55:41.304297Z
110,25645,2066,24,18,0,coin,Start,ask,Wednesday,14,2023-05-10T14:58:14.109100Z
111,25647,2091,25,18,0,coin,Closed,ask,Wednesday,15,2023-05-10T15:00:21.551115Z
112,25689,2101,26,18,0,coin,Closed,ask,Wednesday,15,2023-05-10T15:01:23.794814Z
113,25640,2101,26,18,0,coin,Start,ask,Wednesday,15,2023-05-10T15:01:59.570195Z
114,25690,2103,26,18,0,coin,Start,ask,Wednesday,15,2023-05-10T15:03:28.384229Z
115,25797,2104,26,18,0,coin,Start,ask,Wednesday,15,2023-05-10T15:04:38.477313Z
