,Price,Time,Sold,Added,Percent Diff,Item,Class,Type,Day,Hour,Date
0,23900,0,0,0,0,coin,Start,bid,Monday,12,2023-05-08T12:50:58.074489Z
1,23901,1,0,1,0,coin,Opened,bid,Monday,12,2023-05-08T12:51:20.238638Z
2,23900,0,0,0,0,coin,Start,bid,Monday,12,2023-05-08T12:53:26.382660Z
3,23805,1,1,0,0,coin,Closed,bid,Monday,12,2023-05-08T12:53:48.025820Z
4,23614,0,0,0,0,coin,Start,bid,Monday,12,2023-05-08T12:57:59.328946Z
5,23890,0,0,0,0,coin,Start,bid,Monday,13,2023-05-08T13:26:33.374013Z
6,23900,0,0,0,0,coin,Start,bid,Monday,13,2023-05-08T13:27:11.913618Z
7,23900,0,0,0,0,coin,Start,bid,Monday,13,2023-05-08T13:28:37.958260Z
8,23900,0,0,0,0,coin,Start,bid,Monday,13,2023-05-08T13:29:17.335507Z
9,23891,0,0,0,0,coin,Start,bid,Monday,13,2023-05-08T13:33:03.506183Z
10,23891,0,0,0,0,coin,Start,bid,Monday,13,2023-05-08T13:35:29.820923Z
11,23892,0,0,0,0,coin,Start,bid,Monday,13,2023-05-08T13:36:41.645336Z
12,23900,0,0,0,0,coin,Start,bid,Monday,13,2023-05-08T13:38:25.302709Z
13,23900,0,0,0,0,coin,Start,bid,Monday,13,2023-05-08T13:39:20.399528Z
14,23893,7,1,0,0,coin,Closed,bid,Monday,13,2023-05-08T13:39:54.750308Z
15,23894,0,0,0,0,coin,Start,bid,Monday,13,2023-05-08T13:44:19.036553Z
16,23895,2,0,1,0,coin,Opened,bid,Monday,13,2023-05-08T13:44:41.212928Z
17,23895,0,0,0,0,coin,Start,bid,Monday,13,2023-05-08T13:49:13.031117Z
18,23895,0,0,0,0,coin,Start,bid,Monday,13,2023-05-08T13:50:45.598107Z
19,23896,5,0,1,0,coin,Opened,bid,Monday,13,2023-05-08T13:51:04.332218Z
20,23901,0,0,0,0,coin,Start,bid,Monday,14,2023-05-08T14:05:23.239458Z
21,23900,0,0,0,0,coin,Start,bid,Monday,14,2023-05-08T14:09:09.138431Z
22,23900,0,0,0,0,coin,Start,bid,Monday,14,2023-05-08T14:09:44.714689Z
23,23900,0,0,0,0,coin,Start,bid,Monday,14,2023-05-08T14:10:08.812392Z
24,23901,2,0,1,0,coin,Opened,bid,Monday,14,2023-05-08T14:10:52.646998Z
25,23901,0,0,0,0,coin,Start,bid,Monday,14,2023-05-08T14:12:35.096072Z
26,23901,0,0,0,0,coin,Start,bid,Monday,14,2023-05-08T14:13:27.364261Z
27,23902,0,0,0,0,coin,Start,bid,Monday,14,2023-05-08T14:19:58.355829Z
28,23903,2,0,1,0,coin,Opened,bid,Monday,14,2023-05-08T14:20:20.796925Z
29,23903,0,0,0,0,coin,Start,bid,Monday,14,2023-05-08T14:22:11.888356Z
30,23904,1,0,1,0,coin,Opened,bid,Monday,14,2023-05-08T14:22:16.038380Z
31,23898,0,0,0,0,coin,Start,bid,Monday,15,2023-05-08T15:14:05.222844Z
32,23899,11,0,1,0,coin,Opened,bid,Monday,15,2023-05-08T15:14:50.514507Z
33,23898,0,0,0,0,coin,Start,bid,Monday,15,2023-05-08T15:20:38.038387Z
34,23898,0,0,0,0,coin,Start,bid,Monday,15,2023-05-08T15:21:00.564051Z
35,23900,0,0,0,0,coin,Start,bid,Monday,15,2023-05-08T15:21:52.450111Z
36,23898,0,0,0,0,coin,Start,bid,Monday,15,2023-05-08T15:22:59.127132Z
37,24000,0,0,0,0,coin,Start,bid,Monday,15,2023-05-08T15:24:44.553375Z
38,24000,0,0,0,0,coin,Start,bid,Monday,15,2023-05-08T15:27:14.337303Z
39,23898,0,0,0,0,coin,Start,bid,Monday,15,2023-05-08T15:28:59.080206Z
40,23900,0,0,0,0,coin,Start,bid,Monday,15,2023-05-08T15:29:59.131120Z
41,23901,3,0,1,0,coin,Opened,bid,Monday,15,2023-05-08T15:30:12.123121Z
42,23901,0,0,0,0,coin,Start,bid,Monday,15,2023-05-08T15:38:23.871980Z
43,23905,22,0,1,0,coin,Opened,bid,Monday,15,2023-05-08T15:39:59.730869Z
44,23010,0,0,0,0,coin,Start,bid,Tuesday,1,2023-05-09T01:00:05.332354Z
45,23011,17,0,1,0,coin,Opened,bid,Tuesday,1,2023-05-09T01:01:25.861906Z
46,23103,0,0,0,0,coin,Start,bid,Tuesday,1,2023-05-09T01:20:04.972860Z
47,23103,0,0,0,0,coin,Start,bid,Tuesday,1,2023-05-09T01:20:53.323657Z
48,23102,15,1,0,0,coin,Closed,bid,Tuesday,1,2023-05-09T01:22:44.212364Z
49,23002,0,0,0,0,coin,Start,bid,Tuesday,1,2023-05-09T01:24:50.253208Z
50,22992,111,1,0,0,coin,Closed,bid,Tuesday,1,2023-05-09T01:37:51.221461Z
51,22999,0,0,0,0,coin,Start,bid,Tuesday,1,2023-05-09T01:50:23.407260Z
52,22996,4,1,0,0,coin,Closed,bid,Tuesday,1,2023-05-09T01:50:54.071029Z
53,22996,0,0,0,0,coin,Start,bid,Tuesday,1,2023-05-09T01:53:01.144048Z
54,22997,2,0,1,0,coin,Opened,bid,Tuesday,1,2023-05-09T01:53:18.421442Z
55,22999,0,0,0,0,coin,Start,bid,Tuesday,1,2023-05-09T01:59:40.450139Z
56,23000,13,0,1,0,coin,Opened,bid,Tuesday,2,2023-05-09T02:01:05.871065Z
57,22100,0,0,0,0,coin,Start,bid,Tuesday,12,2023-05-09T12:46:52.167226Z
58,22101,1,0,1,0,coin,Opened,bid,Tuesday,12,2023-05-09T12:47:08.745772Z
59,22102,0,0,0,0,coin,Start,bid,Tuesday,12,2023-05-09T12:49:44.924989Z
60,22102,0,0,0,0,coin,Start,bid,Tuesday,12,2023-05-09T12:50:44.176336Z
61,22103,1,0,1,0,coin,Opened,bid,Tuesday,12,2023-05-09T12:51:04.046921Z
62,22300,0,0,0,0,coin,Start,bid,Tuesday,13,2023-05-09T13:03:26.095675Z
63,22301,2,0,1,0,coin,Opened,bid,Tuesday,13,2023-05-09T13:03:45.040515Z
64,22400,0,0,0,0,coin,Start,bid,Tuesday,13,2023-05-09T13:06:10.342527Z
65,22401,6,1,0,0,coin,Closed,bid,Tuesday,13,2023-05-09T13:07:24.464125Z
66,22406,0,0,0,0,coin,Start,bid,Tuesday,13,2023-05-09T13:48:11.562167Z
